release_year,budget_adj
2009,3760682
2013,3744133
2013,3744133
2013,3744133
2013,3744133
2013,3744133
2013,3744133
2013,3744133
2014,3684364
2014,3684364
2014,3684364
2014,3684364
2007,3680840
2007,3680840
2015,3679998
2015,3679998
2015,3679998
2015,3679998
2008,3646032
2009,3557402
2009,3557402
2009,3557402
2009,3557402
2009,3557402
2008,3544753
2008,3544753
2008,3544753
2008,3544753
2012,3543021
2010,3500000
2009,3455761
2011,3392893
2011,3392893
2011,3392893
2013,3369720
2012,3324105
2012,3324105
2012,3324105
2009,3303301
2013,3276117
2013,3276117
2013,3276117
2013,3276117
2013,3276117
2009,3252481
2006,3245007
2014,3223819
2014,3223819
2015,3219999
2015,3219999
2010,3200000
2010,3167000
2007,3155006
2007,3155006
2015,3127999
2010,3100000
2009,3049201
2009,3049201
2014,3039600
2008,3038360
2008,3038360
2015,3035999
2010,3000000
2010,3000000
2010,3000000
2010,3000000
2010,3000000
2014,2993546
2009,2947561
2008,2937081
2006,2920507
2011,2908194
2011,2908194
2011,2908194
2014,2901437
2012,2849233
2012,2849233
2012,2849233
2012,2849233
2012,2849233
2012,2849233
2012,2849233
2012,2849233
2012,2849233
2012,2849233
2011,2813833
2013,2808100
2013,2808100
2013,2808100
2013,2808100
2013,2808100
2013,2808100
2014,2763273
2014,2763273
2014,2763273
2014,2763273
2015,2759999
2015,2759999
2015,2759999
2015,2759999
2015,2759999
2015,2759999
2007,2734338
2013,2714497
2012,2697274
2007,2629171
2014,2579055
2006,2574373
2009,2541001
2008,2531967
2008,2531967
2008,2531967
2010,2500000
2010,2500000
2010,2500000
2010,2500000
2010,2500000
2010,2500000
2006,2487839
2014,2486946
2011,2423495
2011,2423495
2010,2400000
2012,2374361
2012,2374361
2012,2374361
2012,2374361
2013,2340083
2013,2340083
2013,2340083
2013,2340083
2008,2329409
2014,2302728
2010,2300000
2015,2299999
2015,2299999
2014,2292964
2012,2279386
2014,2210619
2006,2163338
2006,2163338
2006,2163338
2007,2103337
2007,2103337
2007,2103337
2007,2103337
2007,2103337
2007,2103337
2015,2060799
2009,2044793
2009,2032801
2008,2025573
2008,2025573
2008,2025573
2008,2025573
2010,2000000
2010,2000000
2010,2000000
2010,2000000
2010,2000000
2010,2000000
2010,1987650
2011,1938796
2011,1938796
2011,1938796
2011,1938796
2012,1899489
2012,1899489
2012,1899489
2012,1899489
2012,1899489
2012,1899489
2012,1899489
2013,1872067
2013,1872067
2014,1842182
2014,1842182
2014,1842182
2014,1842182
2014,1842182
2014,1842182
2014,1842182
2015,1839999
2015,1839999
2015,1839999
2015,1839999
2015,1839999
2010,1800000
2015,1793999
2015,1747999
2009,1727881
2012,1709540
2013,1684860
2015,1655999
2012,1614565
2007,1577503
2007,1577503
2009,1524601
2009,1524601
2008,1519180
2008,1519180
2010,1500000
2010,1500000
2011,1454097
2012,1424616
2012,1424616
2012,1424616
2012,1424616
2013,1404050
2010,1400000
2014,1381637
2015,1379999
2015,1379999
2013,1310447
2010,1300000
2011,1298993
2006,1298003
2014,1289527
2010,1250000
2015,1195999
2012,1187180
2007,1156835
2013,1123240
2011,1114808
2014,1105309
2010,1100000
2006,1081669
2006,1081669
2006,1081669
2006,1075179
2011,1066338
2007,1051669
2012,1044719
2013,1033381
2009,1016400
2008,1012787
2010,1000000
2013,985412
2006,973502
2011,969398
2011,969398
2011,969398
2011,969398
2011,969398
2011,969398
2011,969398
2011,969398
2011,969398
2010,967686
2013,964174
2012,949744
2012,949744
2012,949744
2012,949744
2013,936033
2013,936033
2013,936033
2013,936033
2013,936033
2013,936033
2013,936033
2013,936033
2013,932775
2014,921091
2014,921091
2014,921091
2014,921091
2014,921091
2014,921091
2014,921091
2015,920000
2015,920000
2015,920000
2015,920000
2015,920000
2015,920000
2015,920000
2006,919419
2011,901540
2010,900000
2013,889232
2014,875036
2007,867627
2009,813120
2012,807283
2008,759590
2006,757168
2013,748827
2013,748827
2007,736168
2011,727049
2011,727049
2012,712308
2014,690818
2013,678624
2011,678579
2010,650000
2015,644000
2015,644000
2011,630109
2015,598000
2011,581639
2015,579617
2013,561620
2014,552655
2015,552000
2010,550000
2006,540835
2006,540835
2013,530731
2007,525834
2008,522383
2009,508200
2008,506393
2008,506393
2008,506393
2010,500000
2010,500000
2010,500000
2010,500000
2011,484699
2011,484699
2011,484699
2011,484699
2011,484699
2012,474872
2012,474872
2012,474872
2012,474872
2013,468017
2007,464724
2014,460546
2014,460546
2015,460000
2009,431970
2015,411722
2012,379898
2011,339289
2013,325893
2006,324501
2014,300208
2010,300000
2014,292907
2011,290819
2012,284923
2012,284923
2009,254100
2008,253197
2011,242350
2011,242350
2011,242350
2007,242304
2013,234008
2013,217160
2007,210334
2008,202557
2008,202557
2012,189949
2014,184218
2014,184218
2008,172174
2007,168267
2006,162250
2012,161457
2008,151918
2014,144298
2012,142462
2014,138164
2011,130869
2011,129904
2013,126365
2007,126200
2011,121175
2013,117647
2006,108167
2006,108167
2010,100000
2011,96940
2011,96940
2012,94974
2013,93603
2013,93603
2015,92000
2006,85452
2011,67858
2010,65000
2011,59844
2007,52583
2013,46802
2011,43819
2009,31704
2010,30000
2010,30000
2007,26292
2008,20256
2011,16480
2007,15775
2010,10000
2012,9877
2011,7755
2012,7598
2007,6310
2009,5082
2010,5000
2009,3557
2006,2704
2007,736
2013,702
2013,608
2013,468
2009,110
2014,108
2012,104
2011,94
2011,90
2013,83
2009,76
2012,24
2011,19
2014,17
2013,17
2012,16
2013,14
2013,14
2007,13
2010,10
2015,9
2014,9
2013,9
2008,8
2014,5
2011,3
2010,3
2014,1
2011,1
2008,1
