release_year,budget_adj
2006,55165127
2012,55085168
2010,55000000
2010,55000000
2013,54289934
2011,54286290
2007,54160932
2014,54160154
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2006,54083458
2009,53869223
2015,53359977
2011,53316892
2008,52664905
2007,52583429
2007,52583429
2007,52583429
2007,52583429
2013,52417868
2010,52000000
2010,52000000
2013,51481834
2013,51481834
2013,51481834
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2009,50820022
2014,50660008
2014,50660008
2008,50639332
2008,50639332
2015,50599978
2015,50599978
2011,50408698
2010,50000000
2010,50000000
2010,50000000
2015,48759979
2006,48675112
2006,48675112
2006,48675112
2006,48675112
2011,48663782
2008,48613758
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48469902
2011,48372962
2010,48000000
2009,47770820
2012,47487214
2012,47487214
2012,47487214
2007,47325086
2007,47325086
2007,47325086
2007,47325086
2007,47325086
2010,47000000
2013,46801668
2013,46801668
2013,46801668
2013,46801668
2015,46091980
2014,46054553
2014,46054553
2014,46054553
2014,46054553
2014,46054553
2014,46054553
2014,46054553
2014,46054553
2015,45999980
2015,45999980
2015,45999980
2009,45738020
2009,45738020
2008,45575399
2008,45575399
2008,45575399
2008,45575399
2011,45561708
2015,45079980
2010,45000000
2015,44159981
2010,44000000
2011,43622912
2011,43622912
2011,43622912
2006,43266766
2006,43266766
2006,43266766
2006,43266766
2006,43266766
2006,43266766
2006,43266766
2006,43266766
2006,43266766
2013,43057534
2012,42738493
2012,42738493
2012,42738493
2009,42688818
2012,42263621
2007,42066743
2007,42066743
2007,42066743
2009,41672418
2014,41449097
2013,41185468
2006,41103428
2007,41015075
2006,40741069
2011,40714718
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2009,40656017
2014,40528006
2008,40511465
2008,40511465
2008,40511465
2008,40511465
2015,40479982
2013,40249434
2010,40000000
2010,40000000
2010,40000000
2010,40000000
2010,40000000
2010,40000000
2007,39963406
2012,39889260
2012,39889260
2012,39889260
2011,39745320
2011,39745320
2009,39639617
2011,38775922
2011,38775922
2011,38775922
2011,38775922
2011,38775922
2011,38775922
2011,38775922
2011,38775922
2011,38775922
2011,38775922
2014,38685824
2009,38623217
2009,38623217
2010,38000000
2010,38000000
2012,37989771
2012,37989771
2012,37989771
2012,37989771
2012,37989771
2012,37989771
2012,37989771
2006,37858421
2006,37858421
2006,37858421
2006,37858421
2006,37858421
2008,37473105
2008,37473105
2008,37473105
2008,37473105
2013,37441334
2013,37441334
2013,37441334
2013,37441334
2013,37441334
2012,37040027
2010,37000000
2014,36843642
2014,36843642
2014,36843642
2014,36843642
2014,36843642
2014,36843642
2011,36837126
2007,36808400
2007,36808400
2007,36808400
2015,36799984
2015,36799984
2015,36799984
2015,36799984
2015,36799984
2010,36000000
2011,35867728
2011,35867728
2007,35756732
2006,35695082
2009,35574015
2009,35574015
2009,35574015
2009,35574015
2009,35574015
2009,35574015
2009,35574015
2013,35569267
2013,35569267
2008,35447532
2008,35447532
2008,35447532
2008,35447532
2008,35447532
2008,35447532
2008,35447532
2008,35447532
2008,35447532
2010,35000000
2010,35000000
2010,35000000
2010,35000000
2010,35000000
2011,34898330
2011,34898330
2011,34898330
2013,34633234
2006,34613413
2006,34613413
2015,34039985
2011,33928931
2011,33928931
2011,33928931
2011,33928931
2011,33928931
2011,33928931
2009,33541214
2006,33531744
2008,33421959
2012,33241050
2012,33241050
2012,33241050
2012,33241050
2012,33241050
2012,33241050
2014,33159278
2013,32761167
2013,32761167
2013,32761167
2013,32761167
2013,32761167
2013,32761167
2013,32761167
2013,32761167
2009,32524814
2006,32450075
2006,32450075
2006,32450075
2006,32450075
2006,32450075
2006,32450075
2008,32409172
2008,32409172
2014,32238187
2015,32199986
2015,32199986
2015,32199986
2015,32199986
2015,32199986
2015,32199986
2015,32199986
2015,32199986
2015,32199986
2010,32000000
2010,32000000
2010,32000000
2013,31825134
2007,31550057
2007,31550057
2007,31550057
2007,31550057
2007,31550057
2007,31550057
2007,31550057
2007,31550057
2007,31550057
2011,31505436
2012,31341561
2014,31317096
2015,31279986
2011,31020737
2011,31020737
2011,31020737
2010,31000000
2013,30889101
2009,30492013
2009,30492013
2009,30492013
2009,30492013
2009,30492013
2009,30492013
2009,30492013
2012,30391817
2008,30383599
2008,30383599
2008,30383599
2008,30383599
2008,30383599
2008,30383599
2008,30383599
2008,30383599
2008,30383599
2008,30383599
2006,30286736
2010,30000000
2010,30000000
2010,30000000
2010,30000000
2010,30000000
2010,30000000
2010,30000000
2010,30000000
2010,30000000
2013,29953067
2013,29953067
2009,29475613
2007,29446720
2012,29442073
2006,29205067
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2011,29081941
2007,28920886
2015,28519987
2012,28492328
